Title,Category,Link,Date,Author,Description,Polarity
MTI’s Johann Steynberg fights extradition from Brazil ,Bitcoin ,https://www.moneyweb.co.za/in-depth/investigations/mtis-johann-steynberg-fights-extradition-from-brazil/,8 Jun 2022 / ,Ciaran Ryan,But is he going to raise the Ronnie Biggs Great Train Robbery defence? ,Positive
Bitcoin tumbles as much as 7.1% to drop back below $30 000 ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-tumbles-as-much-as-7-1-to-drop-back-below-30-000/,8 Jun 2022 / ,Ciaran Ryan,"The largest cryptocurrency fell as much as 7.1% to $29 209, a level not seen since May 30. ",Positive
Bitcoin heads higher in attempt to escape $30 000 level ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-heads-higher-in-attempt-to-escape-30-000-level/,7 Jun 2022 / ,"Joanna Ossinger, Bloomberg",The largest cryptocurrency gained 2.1% to $30 559 as of 9:29 a.m. in Singapore on Monday. ,Neutral
Bitcoin rallies above $30 000 as China eases Covid curbs ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-rallies-above-30-000-as-china-eases-covid-curbs/,6 Jun 2022 / ,"Joanna Ossinger, Bloomberg","The largest cryptocurrency was up 5.2% to $30 687 at 2:21 p.m. in New York, its biggest increase since May 15. ",Positive
Bitcoin may still be primed for a further drop from range ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-may-still-be-primed-for-a-further-drop-from-range/,31 May 2022 / ,"Joanna Ossinger and Muyao Shen, Bloomberg","Bitcoin climbed for a third day, jumping as much as 3.7%, but it’s been stuck around $30 000 for several weeks now. ",Positive
Ether and Altcoins lead crypto rout as Terra DeFi fallout deepens ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/ether-and-altcoins-lead-crypto-rout-as-terra-defi-fallout-deepens/,30 May 2022 / ,"Joanna Ossinger, Bloomberg","Bitcoin acted as somewhat of a haven, paring losses to around 2% after dropping to as low as $28 007. ",Neutral
Bitcoin drifts after longest run of weekly losses since 2011 ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drifts-after-longest-run-of-weekly-losses-since-2011/,26 May 2022 / ,"Emily Nicolle, Bloomberg",Bitcoin was down 0.6% to trade at $29 720 as of 3:02 p.m. in New York. ,Negative
Bitcoin recovers to $30 000 area after shedding weekend weakness ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-recovers-to-30-000-area-after-shedding-weekend-weakness/,24 May 2022 / ,"Joanna Ossinger, Bloomberg", The largest cryptocurrency rose as much as 1.8% to $30 450 on Monday morning in Asia. ,Positive
The team that predicted Terra Luna’s crash four months ago ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/the-team-that-predicted-terra-lunas-crash-four-months-ago/,23 May 2022 / ,"Joanna Ossinger, Bloomberg",Applied Blockchain was asked by an investor to take look at the inner workings of Terra Luna and didn’t like what it found. ,Neutral
‘Boring’ gold vs heart-stopping Bitcoin ,Bitcoin ,https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/boring-gold-vs-heart-stopping-bitcoin/,23 May 2022 / ,R Paulo Delgado,Sometimes boring is better. ,Negative
