Date,Price,daily_volume,type
"Jun 15, 2022","21,212.8",222.52K,Bitcoin
"Jun 14, 2022","22,157.3",251.01K,Bitcoin
"Jun 13, 2022","22,448.0",379.26K,Bitcoin
"Jun 12, 2022","26,606.3",120.02K,Bitcoin
"Jun 11, 2022","28,403.4",82.92K,Bitcoin
"Jun 10, 2022","29,083.3",104.26K,Bitcoin
"Jun 09, 2022","30,097.8",61.72K,Bitcoin
"Jun 08, 2022","30,201.6",87.96K,Bitcoin
"Jun 07, 2022","31,128.8",140.32K,Bitcoin
"Jun 06, 2022","31,367.6",94.01K,Bitcoin
"Jun 05, 2022","29,913.0",30.33K,Bitcoin
"Jun 04, 2022","29,864.3",33.51K,Bitcoin
"Jun 03, 2022","29,700.9",72.13K,Bitcoin
"Jun 02, 2022","30,455.5",81.40K,Bitcoin
"Jun 01, 2022","29,798.5",135.09K,Bitcoin
"May 31, 2022","31,793.4",86.60K,Bitcoin
"May 30, 2022","31,723.3",129.56K,Bitcoin
"May 29, 2022","29,465.2",36.87K,Bitcoin
"May 28, 2022","29,027.1",43.87K,Bitcoin
"May 27, 2022","28,601.2",116.41K,Bitcoin
"May 26, 2022","29,203.5",126.71K,Bitcoin
"May 25, 2022","29,540.6",78.85K,Bitcoin
"May 24, 2022","29,648.7",79.42K,Bitcoin
"May 23, 2022","29,093.3",92.10K,Bitcoin
"May 22, 2022","30,286.6",50.60K,Bitcoin
"May 21, 2022","29,434.6",32.27K,Bitcoin
"May 20, 2022","29,178.6",98.78K,Bitcoin
"May 19, 2022","30,305.9",101.38K,Bitcoin
"May 18, 2022","28,683.7",92.03K,Bitcoin
"May 17, 2022","30,437.5",79.63K,Bitcoin
"May 16, 2022","29,849.0",100.25K,Bitcoin
"May 15, 2022","31,308.7",65.44K,Bitcoin
"Jun 15, 2022",0.4792,647.12M,Cardano
"Jun 14, 2022",0.4837,808.03M,Cardano
"Jun 13, 2022",0.4637,976.67M,Cardano
"Jun 12, 2022",0.4907,480.59M,Cardano
"Jun 11, 2022",0.5535,366.16M,Cardano
"Jun 10, 2022",0.5743,319.51M,Cardano
"Jun 09, 2022",0.6321,238.18M,Cardano
"Jun 08, 2022",0.6408,469.53M,Cardano
"Jun 07, 2022",0.6139,461.76M,Cardano
"Jun 06, 2022",0.6094,401.12M,Cardano
"Jun 05, 2022",0.5677,114.98M,Cardano
"Jun 04, 2022",0.5664,135.33M,Cardano
"Jun 03, 2022",0.5602,259.98M,Cardano
"Jun 02, 2022",0.5881,375.09M,Cardano
"Jun 01, 2022",0.5514,434.11M,Cardano
"May 31, 2022",0.6255,805.39M,Cardano
"May 30, 2022",0.5695,319.35M,Cardano
"May 29, 2022",0.482,116.26M,Cardano
"May 28, 2022",0.4644,128.49M,Cardano
"May 27, 2022",0.4553,317.04M,Cardano
"May 26, 2022",0.479,290.25M,Cardano
"May 25, 2022",0.5145,162.29M,Cardano
"May 24, 2022",0.5219,199.56M,Cardano
"May 23, 2022",0.5127,221.82M,Cardano
"May 22, 2022",0.5418,127.81M,Cardano
"May 21, 2022",0.5286,109.60M,Cardano
"May 20, 2022",0.5163,210.56M,Cardano
"May 19, 2022",0.5331,269.92M,Cardano
"May 18, 2022",0.5044,283.31M,Cardano
"May 17, 2022",0.5777,262.66M,Cardano
"May 16, 2022",0.5564,380.70M,Cardano
"May 15, 2022",0.5979,279.39M,Cardano
"Jun 15, 2022","1,112.95",2.91M,Ethereum
"Jun 14, 2022","1,210.84",3.27M,Ethereum
"Jun 13, 2022","1,206.67",4.39M,Ethereum
"Jun 12, 2022","1,435.46",1.82M,Ethereum
"Jun 11, 2022","1,531.42",1.44M,Ethereum
"Jun 10, 2022","1,663.02",1.13M,Ethereum
"Jun 09, 2022","1,788.06",625.76K,Ethereum
"Jun 08, 2022","1,793.00",1.09M,Ethereum
"Jun 07, 2022","1,813.72",1.64M,Ethereum
"Jun 06, 2022","1,859.99",939.37K,Ethereum
"Jun 05, 2022","1,806.71",437.73K,Ethereum
"Jun 04, 2022","1,804.37",442.10K,Ethereum
"Jun 03, 2022","1,775.29",884.53K,Ethereum
"Jun 02, 2022","1,834.64",975.53K,Ethereum
"Jun 01, 2022","1,818.07",1.29M,Ethereum
"May 31, 2022","1,941.79",933.24K,Ethereum
"May 30, 2022","1,998.46",1.04M,Ethereum
"May 29, 2022","1,813.56",554.58K,Ethereum
"May 28, 2022","1,792.68",658.23K,Ethereum
"May 27, 2022","1,724.30",1.57M,Ethereum
"May 26, 2022","1,793.42",1.42M,Ethereum
"May 25, 2022","1,942.91",639.93K,Ethereum
"May 24, 2022","1,979.35",620.41K,Ethereum
"May 23, 2022","1,972.93",738.09K,Ethereum
"May 22, 2022","2,043.19",425.98K,Ethereum
"May 21, 2022","1,975.12",292.47K,Ethereum
"May 20, 2022","1,959.85",699.69K,Ethereum
"May 19, 2022","2,019.34",858.97K,Ethereum
"May 18, 2022","1,912.12",751.82K,Ethereum
"May 17, 2022","2,091.14",736.63K,Ethereum
"May 16, 2022","2,022.93",950.85K,Ethereum
"May 15, 2022","2,145.86",589.77K,Ethereum
"Jun 15, 2022",0.000107,-,LUNA
"Jun 14, 2022",0.000111,-,LUNA
"Jun 13, 2022",0.000112,-,LUNA
"Jun 12, 2022",0.000133,-,LUNA
"Jun 11, 2022",0.000142,-,LUNA
"Jun 10, 2022",0.000145,-,LUNA
"Jun 09, 2022",0.000151,-,LUNA
"Jun 08, 2022",0.000151,-,LUNA
"Jun 07, 2022",0.000156,-,LUNA
"Jun 06, 2022",0.000157,-,LUNA
"Jun 05, 2022",0.00015,-,LUNA
"Jun 04, 2022",0.000149,-,LUNA
"Jun 03, 2022",0.000148,-,LUNA
"Jun 02, 2022",0.000152,-,LUNA
"Jun 01, 2022",0.000149,-,LUNA
"May 31, 2022",0.000159,-,LUNA
"May 30, 2022",0.000159,-,LUNA
"May 18, 2022",0.00015,-,LUNA
"May 17, 2022",0.000152,-,LUNA
"May 16, 2022",0.000149,-,LUNA
"May 15, 2022",0.000157,-,LUNA
"Jun 15, 2022",0.9983,238.30M,USDT
"Jun 14, 2022",0.9988,244.03M,USDT
"Jun 13, 2022",0.9985,449.00M,USDT
"Jun 12, 2022",0.9988,67.54M,USDT
"Jun 11, 2022",0.9988,37.62M,USDT
"Jun 10, 2022",0.9988,113.46M,USDT
"Jun 09, 2022",0.9991,113.78M,USDT
"Jun 08, 2022",0.9992,99.36M,USDT
"Jun 07, 2022",0.9992,145.02M,USDT
"Jun 06, 2022",0.9993,123.26M,USDT
"Jun 05, 2022",0.9992,15.05M,USDT
"Jun 04, 2022",0.9992,15.65M,USDT
"Jun 03, 2022",0.999,93.33M,USDT
"Jun 02, 2022",0.9994,131.17M,USDT
"Jun 01, 2022",0.9991,121.22M,USDT
"May 31, 2022",0.9992,145.77M,USDT
"May 30, 2022",0.9993,173.77M,USDT
"May 29, 2022",0.9989,71.39M,USDT
"May 28, 2022",0.9988,26.18M,USDT
"May 27, 2022",0.9989,120.17M,USDT
"May 26, 2022",0.9989,137.45M,USDT
"May 25, 2022",0.9989,97.29M,USDT
"May 24, 2022",0.9989,106.98M,USDT
"May 23, 2022",0.9989,111.21M,USDT
"May 22, 2022",0.999,31.68M,USDT
"May 21, 2022",0.9988,26.25M,USDT
"May 20, 2022",0.9988,119.32M,USDT
"May 19, 2022",0.999,141.91M,USDT
"May 18, 2022",0.9986,162.62M,USDT
"May 17, 2022",0.9989,143.36M,USDT
"May 16, 2022",0.9985,222.14M,USDT
"May 15, 2022",0.9988,82.34M,USDT
