"Date","Price","Open","High","Low","daily_volume","Change %"
"Jun 15, 2022","0.4792","0.4837","0.4899","0.4490","647.12M","-0.93%"
"Jun 14, 2022","0.4837","0.4638","0.5195","0.4371","808.03M","4.32%"
"Jun 13, 2022","0.4637","0.4908","0.4977","0.4376","976.67M","-5.50%"
"Jun 12, 2022","0.4907","0.5535","0.5608","0.4906","480.59M","-11.36%"
"Jun 11, 2022","0.5535","0.5743","0.6163","0.5454","366.16M","-3.61%"
"Jun 10, 2022","0.5743","0.6321","0.6358","0.5710","319.51M","-9.15%"
"Jun 09, 2022","0.6321","0.6408","0.6560","0.6260","238.18M","-1.35%"
"Jun 08, 2022","0.6408","0.6139","0.6670","0.6098","469.53M","4.39%"
"Jun 07, 2022","0.6139","0.6094","0.6446","0.5725","461.76M","0.73%"
"Jun 06, 2022","0.6094","0.5673","0.6445","0.5654","401.12M","7.34%"
"Jun 05, 2022","0.5677","0.5665","0.5803","0.5542","114.98M","0.23%"
"Jun 04, 2022","0.5664","0.5602","0.5713","0.5464","135.33M","1.12%"
"Jun 03, 2022","0.5602","0.5881","0.6047","0.5396","259.98M","-4.75%"
"Jun 02, 2022","0.5881","0.5517","0.5965","0.5496","375.09M","6.65%"
"Jun 01, 2022","0.5514","0.6255","0.6310","0.5385","434.11M","-11.83%"
"May 31, 2022","0.6255","0.5699","0.6857","0.5680","805.39M","9.83%"
"May 30, 2022","0.5695","0.4820","0.5773","0.4773","319.35M","18.16%"
"May 29, 2022","0.4820","0.4646","0.4825","0.4564","116.26M","3.79%"
"May 28, 2022","0.4644","0.4553","0.4683","0.4482","128.49M","2.00%"
"May 27, 2022","0.4553","0.4791","0.4836","0.4456","317.04M","-4.96%"
"May 26, 2022","0.4790","0.5145","0.5208","0.4631","290.25M","-6.90%"
"May 25, 2022","0.5145","0.5219","0.5322","0.5073","162.29M","-1.41%"
"May 24, 2022","0.5219","0.5128","0.5249","0.4936","199.56M","1.79%"
"May 23, 2022","0.5127","0.5418","0.5585","0.5053","221.82M","-5.36%"
"May 22, 2022","0.5418","0.5286","0.5486","0.5222","127.81M","2.50%"
"May 21, 2022","0.5286","0.5163","0.5385","0.5092","109.60M","2.37%"
"May 20, 2022","0.5163","0.5331","0.5447","0.5021","210.56M","-3.15%"
"May 19, 2022","0.5331","0.5044","0.5462","0.4919","269.92M","5.68%"
"May 18, 2022","0.5044","0.5777","0.5859","0.5036","283.31M","-12.67%"
"May 17, 2022","0.5777","0.5564","0.5988","0.5519","262.66M","3.82%"
"May 16, 2022","0.5564","0.5979","0.6123","0.5447","380.70M","-6.94%"
"May 15, 2022","0.5979","0.5378","0.5989","0.5151","279.39M","11.17%"
