"Date","Price","Open","High","Low","daily_volume","Change %"
"Jun 15, 2022","0.000107","0.000111","0.000111","0.000101","-","-3.72%"
"Jun 14, 2022","0.000111","0.000112","0.000115","0.000104","-","-1.62%"
"Jun 13, 2022","0.000112","0.000133","0.000134","0.000110","-","-15.74%"
"Jun 12, 2022","0.000133","0.000142","0.000143","0.000133","-","-5.71%"
"Jun 11, 2022","0.000142","0.000145","0.000147","0.000141","-","-2.69%"
"Jun 10, 2022","0.000145","0.000151","0.000152","0.000144","-","-3.43%"
"Jun 09, 2022","0.000151","0.000151","0.000154","0.000150","-","-0.57%"
"Jun 08, 2022","0.000151","0.000156","0.000156","0.000149","-","-3.15%"
"Jun 07, 2022","0.000156","0.000157","0.000158","0.000146","-","-0.62%"
"Jun 06, 2022","0.000157","0.000150","0.000159","0.000149","-","5.22%"
"Jun 05, 2022","0.000150","0.000149","0.000151","0.000148","-","0.00%"
"Jun 04, 2022","0.000149","0.000149","0.000150","0.000147","-","0.63%"
"Jun 03, 2022","0.000148","0.000152","0.000153","0.000147","-","-2.62%"
"Jun 02, 2022","0.000152","0.000149","0.000153","0.000148","-","2.05%"
"Jun 01, 2022","0.000149","0.000159","0.000160","0.000147","-","-6.22%"
"May 31, 2022","0.000159","0.000159","0.000162","0.000156","-","0.48%"
"May 30, 2022","0.000159","0.000152","0.000160","0.000152","-","5.90%"
"May 18, 2022","0.000150","0.000152","0.000154","0.000149","-","-1.67%"
"May 17, 2022","0.000152","0.000149","0.000154","0.000147","-","1.95%"
"May 16, 2022","0.000149","0.000157","0.000157","0.000146","-","-4.57%"
"May 15, 2022","0.000157","0.000451","0.000454","0.000148","-","-65.32%"
