"Date","Price","Open","High","Low","daily_volume","Change %"
"Jun 15, 2022","0.9983","0.9988","0.9990","0.9978","238.30M","-0.05%"
"Jun 14, 2022","0.9988","0.9986","0.9990","0.9983","244.03M","0.03%"
"Jun 13, 2022","0.9985","0.9988","0.9988","0.9964","449.00M","-0.03%"
"Jun 12, 2022","0.9988","0.9988","0.9990","0.9986","67.54M","0.00%"
"Jun 11, 2022","0.9988","0.9988","0.9990","0.9986","37.62M","0.00%"
"Jun 10, 2022","0.9988","0.9991","0.9993","0.9988","113.46M","-0.03%"
"Jun 09, 2022","0.9991","0.9992","0.9994","0.9991","113.78M","-0.01%"
"Jun 08, 2022","0.9992","0.9992","0.9995","0.9991","99.36M","0.00%"
"Jun 07, 2022","0.9992","0.9993","0.9994","0.9990","145.02M","-0.01%"
"Jun 06, 2022","0.9993","0.9992","0.9993","0.9990","123.26M","0.01%"
"Jun 05, 2022","0.9992","0.9992","0.9992","0.9990","15.05M","0.00%"
"Jun 04, 2022","0.9992","0.9990","0.9992","0.9989","15.65M","0.02%"
"Jun 03, 2022","0.9990","0.9993","0.9994","0.9988","93.33M","-0.04%"
"Jun 02, 2022","0.9994","0.9991","0.9994","0.9990","131.17M","0.03%"
"Jun 01, 2022","0.9991","0.9992","0.9993","0.9988","121.22M","-0.01%"
"May 31, 2022","0.9992","0.9993","0.9994","0.9990","145.77M","-0.01%"
"May 30, 2022","0.9993","0.9989","0.9995","0.9989","173.77M","0.04%"
"May 29, 2022","0.9989","0.9988","0.9991","0.9986","71.39M","0.01%"
"May 28, 2022","0.9988","0.9989","0.9990","0.9988","26.18M","-0.01%"
"May 27, 2022","0.9989","0.9989","0.9992","0.9986","120.17M","0.00%"
"May 26, 2022","0.9989","0.9989","0.9992","0.9987","137.45M","0.00%"
"May 25, 2022","0.9989","0.9989","0.9991","0.9987","97.29M","0.00%"
"May 24, 2022","0.9989","0.9989","0.9991","0.9987","106.98M","0.00%"
"May 23, 2022","0.9989","0.9990","0.9992","0.9988","111.21M","-0.01%"
"May 22, 2022","0.9990","0.9988","0.9991","0.9986","31.68M","0.02%"
"May 21, 2022","0.9988","0.9988","0.9989","0.9986","26.25M","0.00%"
"May 20, 2022","0.9988","0.9990","0.9998","0.9986","119.32M","-0.02%"
"May 19, 2022","0.9990","0.9986","0.9994","0.9985","141.91M","0.04%"
"May 18, 2022","0.9986","0.9989","0.9991","0.9985","162.62M","-0.03%"
"May 17, 2022","0.9989","0.9985","0.9991","0.9985","143.36M","0.04%"
"May 16, 2022","0.9985","0.9988","0.9992","0.9984","222.14M","-0.03%"
"May 15, 2022","0.9988","0.9987","0.9990","0.9984","82.34M","0.01%"
